"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"project-Final.nlogox"
"experiment"
"01/26/2026 14:32:15:586 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","initial-distribution","exposureChance","population","[step]","count turtles","violenceLevel","peopleLeavePlatform","hateSpeechSpread","mean [opinion] of turtles","mean [radicalization] of turtles","mean [trust-in-platform] of turtles"
"158","Moderate Majority","0.6","500","20000","496","85.48387096774194","4","2006826","0.269878658349537","0.855925119255872","0.930554435483871"
"160","Moderate Majority","0.6","500","20000","490","83.87755102040816","10","1903596","0.29583013737696984","0.8401397647361369","0.9023061224489793"
"161","Moderate Majority","0.6","500","20000","500","86.2","0","2108557","0.24211540076723548","0.8632510859511658","0.9555399999999996"
"163","Moderate Majority","0.6","500","20000","498","84.93975903614458","2","2011220","0.7348428967061268","0.8506198568715343","0.9348192771084335"
"164","Moderate Majority","0.6","500","20000","496","78.62903225806451","4","1672412","0.6660590069559674","0.7885325448237476","0.9068346774193543"
"166","Moderate Majority","0.6","500","20000","493","81.7444219066937","7","1832063","0.31270743319355515","0.818636936564302","0.9040770791075049"
"165","Moderate Majority","0.6","500","20000","478","82.42677824267783","22","1771045","0.3216092168003936","0.8260866415709074","0.8936506276150626"
"167","Moderate Majority","0.6","500","20000","482","82.78008298755186","18","1798447","0.3162832133480214","0.8289259825768277","0.9021058091286303"
"168","Moderate Majority","0.6","500","20000","500","83.2","0","1950886","0.2804737228630892","0.8335733643546938","0.9421899999999999"
"169","Moderate Majority","0.6","500","20000","496","78.83064516129032","4","1732717","0.33399104293447507","0.7904552805655163","0.8936995967741935"
"170","Moderate Majority","0.6","500","20000","482","84.43983402489627","18","1855792","0.30189190828999785","0.8454509937014298","0.9018153526970956"
"171","Moderate Majority","0.6","500","20000","494","81.17408906882592","6","1828646","0.3140978731867814","0.8136946763717118","0.9044433198380567"
